B2,B3,B4,B5,class
862,1002,2531,2076,4
573,649,2529,1661,3
511,590,2089,1548,5
727,694,2196,1599,5
773,842,2076,1624,5
819,901,1928,1574,5
767,700,2780,1801,5
753,756,2452,1962,5
662,566,2268,1850,5
601,506,2236,1550,5
586,506,2130,1588,5
1413,1421,2816,2113,5
738,682,2435,1826,5
818,719,2751,1873,5
577,485,2646,1923,5
646,590,2892,2236,5
523,397,2818,1652,5
494,411,2754,1739,5
617,568,2834,2107,5
574,485,2709,1679,1
523,475,2517,1571,1
580,461,2881,1829,1
389,295,2297,1254,1
360,267,2221,1204,1
617,554,2132,1875,4
730,665,2283,2326,4
1039,1209,2144,1882,4
823,811,2122,1699,4
916,903,1903,1783,4
678,672,2334,1831,3
1082,1207,2295,2080,3
948,1034,2125,1769,3
1022,1063,2282,2018,3
557,482,2790,1744,2
497,423,2556,1670,2
723,773,2413,1744,2
579,530,2108,1460,2
670,692,2251,1898,5
655,545,2528,1936,5
609,574,2567,1836,5
517,515,2475,1661,5
471,441,2515,1610,5
410,353,2776,1498,5
487,486,2396,1560,5
426,353,2550,1472,5
365,324,2785,1559,5
505,546,2495,1696,5
503,471,2603,1659,5
475,429,2911,1784,5
527,467,3314,2011,5
576,543,2523,1746,5
657,667,2600,1848,5
844,821,2447,1799,5
700,681,2320,1860,5
599,485,2676,1552,5
700,681,2231,1688,5
700,653,2282,1651,5
643,541,2218,1675,5
599,541,2498,1823,5
715,765,2435,1872,5
585,583,2371,1762,5
372,349,1480,996,5
361,334,1556,1032,5
349,293,1431,1006,5
364,250,1495,1019,5
3483,3622,5090,4653,5
919,1018,2032,1915,5
974,1005,2193,1951,5
850,830,2465,1939,5
897,900,2250,1894,5
870,966,2421,2326,5
803,860,2481,2290,5
911,873,2421,1906,5
897,900,2408,1689,5
759,675,2300,1997,5
800,971,1979,1827,5
773,837,2127,1827,5
964,1064,2361,1973,5
704,823,2041,1900,4
773,675,2705,1936,4
745,729,2386,1888,4
745,756,2447,1815,4
910,984,2263,1791,4
1019,1011,2201,1840,4
786,810,2263,1755,4
827,756,2152,1948,4
732,662,2349,1815,4
800,770,2386,2214,4
827,877,2288,1731,4
525,540,1594,1173,4
950,1144,2300,1924,4
786,957,2028,1815,4
814,971,2423,1791,4
1089,1028,2109,2170,4
933,938,1894,1872,4
657,589,1291,1096,4
1258,1221,1930,1693,4
789,732,2193,1502,4
1090,1321,2094,1918,4
907,796,2427,1882,4
867,865,2272,1758,4
813,865,1946,1734,4
1370,1387,2597,2166,4
813,839,2151,1758,4
880,957,2296,1794,4
920,852,2392,1854,4
1066,1179,2489,1986,4
1225,1035,2525,2321,4
1172,1205,2585,2094,4
1027,1022,2284,2584,4
646,589,1349,1035,4
619,550,1410,1047,4
1038,963,2213,1823,4
1103,1117,2285,2001,4
999,1027,1914,1799,4
1592,1588,2534,2132,4
1361,1346,2344,1989,4
803,641,1566,1226,4
2540,2429,3768,3199,4
787,857,2088,1619,2
817,829,2296,1917,2
713,699,2062,1880,2
668,728,1996,1755,2
743,642,2504,1842,2
698,728,1931,1606,2
1199,1199,2465,1793,2
757,642,2491,1681,2
567,587,1944,1422,2
987,1021,2286,1746,2
657,732,1839,1234,2
792,804,1892,1647,2
867,891,2417,1908,2
702,761,2010,1821,2
567,455,2534,1734,2
777,732,2299,1597,2
567,412,2338,1459,2
807,833,2194,1709,2
582,455,2443,1697,2
649,522,2747,1911,2
725,610,2616,1798,2
634,654,2486,1848,2
649,537,1959,1486,2
649,698,1893,1461,2
497,390,2616,1611,2
740,727,2734,1948,2
512,390,2708,1786,2
558,478,2078,1473,2
482,361,2773,1548,2
876,727,2078,1623,2
859,813,1877,1550,2
859,799,1797,1450,2
859,872,2170,1663,2
639,578,2939,1703,2
559,487,2752,1540,2
562,504,2899,1666,2
562,489,2912,1603,2
577,534,2488,1603,2
562,534,2965,1603,2
562,504,2952,1603,2
528,502,2950,1502,2
590,576,2579,1616,2
606,516,2977,1641,2
763,805,2409,1714,2
671,606,1288,934,3
738,727,1130,635,3
555,465,1555,1081,3
766,699,1784,1400,3
541,507,2602,1645,3
752,768,1619,1143,3
569,534,1466,1032,3
541,520,1683,1118,3
583,548,1505,1118,3
498,451,1581,1118,3
842,828,1687,1304,3
870,938,1351,734,3
785,745,1054,549,3
899,925,1338,734,3
830,835,1120,611,3
608,543,2411,1657,3
675,659,1827,1342,3
675,659,1750,1391,3
775,798,1942,1403,3
890,854,1776,1342,3
858,821,1159,698,3
987,946,1250,748,3
934,951,1129,611,3
876,826,998,424,3
890,884,1145,638,3
947,911,1108,613,3
816,770,1789,1383,3
875,888,814,375,3
959,886,869,363,3
885,785,937,476,3
872,768,844,313,3
690,712,991,400,3
783,782,1617,1264,3
557,580,2451,1689,3
677,685,2210,1492,3
555,600,2472,1818,3
631,600,2498,1593,3
661,655,2255,1677,3
614,598,2075,1514,3
720,686,1555,1125,3
450,388,2327,1507,1
458,374,1712,1039,1
495,351,2125,1321,1
607,543,2324,1528,1
439,378,2250,1467,1
435,388,2113,1397,1
518,443,1642,1013,1
545,443,2079,1314,1
2394,2488,3182,2632,1
